,Players,Salary
277,Sterling Brown\brownst02,$3000000
278,Michael Carter-Williams\cartemi01,$3000000
279,Frank Jackson\jacksfr01,$3000000
280,Josh Green\greenjo02,$2957520
281,Tre Mann\manntr01,$2901240
282,Dewayne Dedmon\dedmode01,$5256308
283,Andrew Nicholson\nichoan01,$2844429
284,Matisse Thybulle\thybuma01,$2840160
285,Saddiq Bey\beysa01,$2824320
286,Kai Jones\joneska01,$2770560
287,Brandon Clarke\clarkbr01,$2726880
288,Precious Achiuwa\achiupr01,$2711280
289,Jalen Johnson\johnsja05,$2659560
290,Paul Millsap\millspa01,$2641691
291,E'Twaun Moore\mooreet01,$2641691
292,Udonis Haslem\hasleud01,$2641691
293,Markieff Morris\morrima02,$2641691
294,Trevor Ariza\arizatr01,$2641691
295,DeAndre Jordan\jordade01,$11109327
296,Dwight Howard\howardw01,$2641691
297,Wayne Ellington\ellinwa01,$2641691
298,Carmelo Anthony\anthoca01,$2641691
299,Enes Freedom\kanteen01,$2641691
300,Andre Iguodala\iguodan01,$2641691
301,Rajon Rondo\rondora01,$2641691
302,James Johnson\johnsja01,$2641691
303,Blake Griffin\griffbl01,$32405817
304,LaMarcus Aldridge\aldrila01,$2641691
305,Avery Bradley\bradlav01,$2641691
306,Ed Davis\davised01,$2641691
307,Grant Williams\willigr01,$2617800
308,Tyrese Maxey\maxeyty01,$2602920
309,Keon Johnson\johnske07,$2553120
310,Darius Bazley\bazleda01,$2513040
311,Trey Lyles\lylestr01,$2500000
312,Zeke Nnaji\nnajize01,$2498760
313,Isaiah Jackson\jacksis01,$2451120
314,Ty Jerome\jeromty01,$2412840
315,Hassan Whiteside\whiteha01,$2401537
316,Kent Bazemore\bazemke01,$2401537
317,Austin Rivers\riverau01,$2401537
318,Andre Drummond\drumman01,$2401537
319,Cory Joseph\josepco01,$7310000
320,Cody Zeller\zelleco01,$2389641
321,Ben McLemore\mclembe01,$2389641
322,Solomon Hill\hillso01,$2389641
323,Tony Snell\snellto01,$2389641
324,Victor Oladipo\oladivi01,$2389641
325,Dewayne Dedmon\dedmode01,$5256308
326,Otto Porter Jr.\porteot01,$2389641
327,Leandro Bolmaro\bolmale01,$2353320
328,Usman Garuba\garubus01,$2353320
329,Willy Hernangómez\hernawi01,$2327220
330,Nassir Little\littlna01,$2316240
331,R.J. Hampton\hamptrj01,$2303040
332,Josh Christopher\chrisjo01,$2259240
333,Monta Ellis\ellismo01,$2245400
334,Elfrid Payton\paytoel01,$2239544
335,Rodney Hood\hoodro01,$2239544
336,Dylan Windler\windldy01,$2239200
337,Immanuel Quickley\quickim01,$2210640
338,John Konchar\konchjo01,$2197674
339,Quentin Grimes\grimequ01,$2168760
340,Jordan Poole\poolejo01,$2161440
341,Bol Bol\bolbo01,$2161152
342,Keldon Johnson\johnske04,$2145720
343,Payton Pritchard\pritcpa01,$2137440
344,Kevin Porter Jr.\porteke02,$2130240
345,Bones Hyland\hylanbo01,$2096880
346,Raul Neto\netora01,$2089448
347,Frank Kaminsky\kaminfr01,$2089448
348,Nemanja Bjelica\bjeline01,$2089448
349,Udoka Azubuike\azubuud01,$2075880
350,Jaden McDaniels\mcdanja02,$2063280
351,Malachi Flynn\flynnma01,$2048040
352,Cam Thomas\thomaca02,$2036280
353,Desmond Bane\banede01,$2033160
354,Jaden Springer\sprinja01,$2023800
355,Day'Ron Sharpe\sharpda01,$2009040
356,Jeremiah Robinson-Earl\robinje02,$2000000
357,Killian Tillie\tilliki02,$2000000
358,Abdel Nader\naderab01,$2000000
359,Théo Maledon\maledth01,$2000000
360,Kenrich Williams\willike04,$2000000
361,Santi Aldama\aldamsa01,$1994520
362,Damian Jones\jonesda03,$1977011
363,Wesley Matthews\matthwe02,$1958501
364,Rodney McGruder\mcgruro01,$1939350
365,DeAndre' Bembry\bembrde01,$2541217
366,Gary Payton II\paytoga02,$1939350
367,Timothé Luwawu-Cabarrot\luwawti01,$1939350
368,PJ Dozier\doziepj01,$1910860
369,Damion Lee\leeda03,$1910860
370,Larry Sanders\sandela01,$1865547
371,Shake Milton\miltosh01,$1846738
372,Mitchell Robinson\robinmi01,$1802057
373,Jalen Brunson\brunsja01,$1802057
374,Dennis Smith Jr.\smithde03,$1789256
375,Malik Monk\monkma01,$1789256
376,Semi Ojeleye\ojelese01,$1789256
377,Frank Ntilikina\ntilila01,$1789256
378,Tony Bradley\bradlto01,$1789256
379,Didi Louzada\louzama01,$1786878
380,Daniel Gafford\gaffoda01,$1782621
381,Terance Mann\mannte01,$1782621
382,Eric Paschall\pascher01,$1782621
383,KZ Okpala\okpalkz01,$1782621
384,Carsen Edwards\edwarca01,$76744
385,Bruno Fernando\fernabr01,$1782621
386,Cody Martin\martico01,$1782621
387,Nic Claxton\claxtni01,$1782621
388,Luguentz Dort\dortlu01,$1782621
389,Isaiah Roby\robyis01,$1782621
390,Jaylen Nowell\nowelja01,$1782621
391,Naz Reid\reidna01,$1782621
392,Vlatko Čančar\cancavl01,$1782621
393,Dean Wade\wadede01,$1782621
394,Jalen McDaniels\mcdanja01,$1782621
395,Drew Eubanks\eubandr01,$1762796
396,Chimezie Metu\metuch01,$1762796
397,Yuta Watanabe\watanyu01,$1762769
398,Svi Mykhailiuk\mykhasv01,$1729217
399,Keita Bates-Diop\bateske01,$1729217
400,Moritz Wagner\wagnemo01,$1729217
401,Thanasis Antetokounmpo\antetth01,$1729217
402,Isaac Bonga\bongais01,$1729217
403,Isaiah Hartenstein\harteis01,$3430810
404,Juan Toscano-Anderson\toscaju01,$1701593
405,Moses Brown\brownmo01,$1720779
406,Oshae Brissett\brissos01,$1701593
407,Isaiah Hartenstein\harteis01,$3430810
408,Herbert Jones\joneshe01,$1700000
409,Gabriel Deck\deckga01,$1690507
410,Jordan McLaughlin\mclaujo01,$1669178
411,Javonte Green\greenja02,$1669178
412,Max Strus\strusma01,$1669178
413,Gabe Vincent\vincega01,$1669178
414,Kevin Pangos\pangoke01,$1669178
415,Matt Thomas\thomama02,$1669178
416,Vernon Carey Jr.\careyve01,$1517981
417,Xavier Tillman Sr.\tillmxa01,$1517981
418,Tyrell Terry\terryty01,$1517981
419,Tre Jones\jonestr01,$1517981
420,Robert Woodard II\woodaro01,$1517981
421,Jahmi'us Ramsey\ramseja01,$1517981
422,CJ Elleby\ellebcj01,$1517981
423,Elijah Hughes\hugheel01,$1517981
424,Isaiah Joe\joeis01,$1517981
425,Naji Marshall\marshna01,$1517981
426,Jordan Nwora\nworajo01,$1517981
427,Nick Richards\richani01,$1517981
428,Anthony Gill\gillan01,$1517981
429,Paul Reed\reedpa01,$1517981
430,Kenyon Martin Jr.\martike04,$1517981
431,Jae'Sean Tate\tateja01,$1517981
432,Lamar Stevens\stevela01,$1517981
433,Isaiah Todd\toddis01,$1500000
434,Jose Alvarado\alvarjo01,$1500000
435,Saben Lee\leesa01,$1489065
436,Omer Yurtseven\yurtsom01,$1489065
437,Armoni Brooks\brookar01,$1625991
438,J.R. Smith\smithjr01,$1456666
439,Danuel House Jr.\houseda01,$2045094
440,Bismack Biyombo\biyombi01,$1366392
441,George Hill\hillge01,$4000000
442,DeMarre Carroll\carrode01,$1252127
443,JT Thor\thorjt01,$1250000
444,Garrison Mathews\mathega01,$1093598
445,Alfonzo McKinnie\mckinal01,$1090007
446,Jabari Parker\parkeja01,$1068288
447,Jason Preston\prestja01,$1062303
448,Isaiah Livers\liveris01,$1057260
449,Guerschon Yabusele\yabusgu01,$1039080
450,Aaron Wiggins\wiggiaa01,$1000000
451,Tristan Thompson\thomptr01,$10720900
452,Kyle Singler\singlky01,$999200
453,Marquese Chriss\chrisma01,$958529
454,Jared Butler\butleja02,$925258
455,Greg Brown III\browngr01,$925258
456,Miles McBride\mcbrimi01,$925258
457,Brandon Boston Jr.\bostobr01,$925258
458,Marko Simonovic\simonma01,$925258
459,Vit Krejci\krejcvi01,$925258
460,Charles Bassey\bassech01,$925258
461,Dalano Banton\bantoda01,$925258
462,Jock Landale\landajo01,$925258
463,Ayo Dosunmu\dosunay01,$925258
464,Austin Reaves\reaveau01,$925258
465,Luka Garza\garzalu01,$925258
466,Lance Stephenson\stephla01,$924730
467,Stanley Johnson\johnsst04,$888616
468,Miye Oni\onimi01,$850331
469,Wayne Selden\seldewa01,$785102
470,Goran Dragić\dragigo01,$20168742
471,Brad Wanamaker\wanambr01,$705598
472,Alize Johnson\johnsal02,$705598
473,DeMarcus Cousins\couside01,$1290481
474,Shaun Livingston\livinsh01,$666666
475,Sam Merrill\merrisa01,$663024
476,Danuel House Jr.\houseda01,$2045094
477,D.J. Augustin\augusdj01,$7622467
478,DeMarcus Cousins\couside01,$1290481
479,Luke Kornet\kornelu01,$606702
480,DeAndre' Bembry\bembrde01,$2541217
481,DeAndre Jordan\jordade01,$11109327
482,Ryan Arcidiacono\arcidry01,$586136
483,Keifer Sykes\sykeske01,$558345
484,Caleb Martin\martica02,$527614
485,Tomáš Satoranský\satorto01,$10468119
486,Georgios Kalaitzakis\kalaige01,$462629
487,Jevon Carter\carteje01,$4107149
488,Gary Clark\clarkga01,$377645
489,Devontae Cacok\cacokde01,$364533
490,Sam Dekker\dekkesa01,$350000
491,Sam Hauser\hausesa01,$313737
492,Admiral Schofield\schofad01,
493,Daishen Nix\nixda01,$292466
494,Haywood Highsmith\highsha01,$290967
495,Isaiah Thomas\thomais02,$276039
496,Trendon Watford\watfotr01,$260561
497,Ish Wainright\wainris01,$8558
498,Malik Fitts\fittsma01,$231062
499,Joe Wieskamp\wieskjo01,$202068
500,Amir Coffey\coffeam01,$153488
501,Bismack Biyombo\biyombi01,$1366392
502,DeMarcus Cousins\couside01,$1290481
503,DeMarcus Cousins\couside01,$1290481
504,DeMarcus Cousins\couside01,$1290481
505,Lance Stephenson\stephla01,$924730
506,Lance Stephenson\stephla01,$924730
507,Lance Stephenson\stephla01,$924730
508,Lance Stephenson\stephla01,$924730
509,Isaiah Thomas\thomais02,$276039
510,Isaiah Thomas\thomais02,$276039
511,Brandon Knight\knighbr03,
512,Brandon Knight\knighbr03,
513,Greg Monroe\monrogr01,$55208
514,Greg Monroe\monrogr01,$55208
515,Greg Monroe\monrogr01,$55208
516,Greg Monroe\monrogr01,$55208
517,Isaiah Thomas\thomais02,$276039
518,Lance Stephenson\stephla01,$924730
519,Armoni Brooks\brookar01,$1625991
520,Isaiah Thomas\thomais02,$276039
