,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME
415,1629669,Jaylen Nowell,Timberwolves
416,1628373,Frank Ntilikina,Mavericks
417,1629134,Kendrick Nunn,Lakers
418,203994,Jusuf Nurkic,Trail Blazers
419,1628021,David Nwaba,Rockets
420,1629670,Jordan Nwora,Bucks
421,1626220,Royce O'Neale,Jazz
423,1629643,Chuma Okeke,Magic
424,1629006,Josh Okogie,Timberwolves
425,1630168,Onyeka Okongwu,Hawks
426,1630171,Isaac Okoro,Cavaliers
428,203506,Victor Oladipo,Heat
430,203482,Kelly Olynyk,Pistons
433,1626224,Cedi Osman,Cavaliers
435,1626162,Kelly Oubre Jr.,Hornets
440,1629672,Eric Paschall,Jazz
441,101108,Chris Paul,Suns
442,1626166,Cameron Payne,Suns
443,203901,Elfrid Payton,Suns
444,1627780,Gary Payton II,Warriors
447,1630691,Jamorko Pickett,Pistons
448,1629033,Theo Pinson,Mavericks
449,203486,Mason Plumlee,Hornets
450,1627751,Jakob Poeltl,Spurs
451,1630197,Aleksej Pokusevski,Thunder
452,1630582,Yves Pons,Grizzlies
453,1629673,Jordan Poole,Warriors
454,1629645,Kevin Porter Jr.,Rockets
455,1629008,Michael Porter Jr.,Nuggets
456,203490,Otto Porter Jr.,Warriors
457,1626171,Bobby Portis,Bucks
458,204001,Kristaps Porzingis,Wizards
460,203939,Dwight Powell,Mavericks
461,1629619,Myles Powell,76ers
462,1626181,Norman Powell,Clippers
464,1630563,Joshua Primo,Spurs
465,1627752,Taurean Prince,Timberwolves
466,1630202,Payton Pritchard,Celtics
467,1630243,Trevelin Queen,Rockets
468,1629674,Neemias Queta,Kings
469,1630193,Immanuel Quickley,Knicks
471,203944,Julius Randle,Knicks
472,1630559,Austin Reaves,Lakers
473,1629629,Cam Reddish,Knicks
474,1628432,Davon Reed,Nuggets
475,1630194,Paul Reed,76ers
476,1629675,Naz Reid,Timberwolves
477,1630208,Nick Richards,Hornets
478,1626196,Josh Richardson,Spurs
479,203085,Austin Rivers,Nuggets
480,1629130,Duncan Robinson,Heat
482,1629011,Mitchell Robinson,Knicks
483,1630526,Jeremiah Robinson-Earl,Thunder
484,1629676,Isaiah Roby,Thunder
485,200765,Rajon Rondo,Cavaliers
486,201565,Derrick Rose,Knicks
487,203082,Terrence Ross,Magic
488,1626179,Terry Rozier,Hornets
489,201937,Ricky Rubio,Pacers
490,1626156,D'Angelo Russell,Timberwolves
491,1630346,Matt Ryan,Celtics
492,1627734,Domantas Sabonis,Kings
493,203967,Dario Saric,Suns
495,203107,Tomas Satoransky,Wizards
496,1630648,Jordan Schakel,Wizards
497,1629678,Admiral Schofield,Magic
498,203471,Dennis Schroder,Rockets
500,1630206,Jay Scrubb,Clippers
502,1630578,Alperen Sengun,Rockets
503,1629012,Collin Sexton,Cavaliers
504,1629013,Landry Shamet,Suns
505,1630549,Day'Ron Sharpe,Nets
506,1627783,Pascal Siakam,Raptors
508,1627732,Ben Simmons,Nets
509,1630250,Marko Simonovic,Bulls
510,1629014,Anfernee Simons,Trail Blazers
512,1630579,Jericho Sims,Knicks
514,1630606,Javonte Smart,Heat
515,203935,Marcus Smart,Celtics
516,202397,Ish Smith,Wizards
517,1630188,Jalen Smith,Pacers
519,1630270,Xavier Sneed,Jazz
520,203503,Tony Snell,Pelicans
521,1630531,Jaden Springer,76ers
523,203917,Nik Stauskas,Celtics
524,202362,Lance Stephenson,Pacers
525,1630205,Lamar Stevens,Cavaliers
527,1630191,Isaiah Stewart,Pistons
528,1629622,Max Strus,Heat
529,1630591,Jalen Suggs,Magic
532,1630256,Jae'Sean Tate,Rockets
533,1628369,Jayson Tatum,Celtics
534,1630678,Terry Taylor,Pacers
535,202066,Garrett Temple,Pelicans
537,1630179,Tyrell Terry,Grizzlies
539,1628464,Daniel Theis,Celtics
540,1630271,Brodric Thomas,Celtics
541,1630560,Cam Thomas,Nets
542,202738,Isaiah Thomas,Hornets
543,1629744,Matt Thomas,Bulls
544,202691,Klay Thompson,Warriors
545,202684,Tristan Thompson,Bulls
546,1630550,JT Thor,Hornets
547,1629680,Matisse Thybulle,76ers
548,1629681,Killian Tillie,Grizzlies
549,1630214,Xavier Tillman,Grizzlies
550,1630225,Isaiah Todd,Wizards
551,1630167,Obi Toppin,Knicks
552,1629308,Juan Toscano-Anderson,Warriors
553,1626157,Karl-Anthony Towns,Timberwolves
554,1629018,Gary Trent Jr.,Raptors
555,200782,P.J. Tucker,Heat
556,1629730,Rayjon Tucker,Bucks
557,1626167,Myles Turner,Pacers
558,202685,Jonas Valanciunas,Pelicans
560,1627832,Fred VanVleet,Raptors
561,1629020,Jarred Vanderbilt,Timberwolves
562,1630170,Devin Vassell,Spurs
564,1629216,Gabe Vincent,Heat
565,202696,Nikola Vucevic,Bulls
566,1629731,Dean Wade,Cavaliers
567,1630532,Franz Wagner,Magic
568,1629021,Moritz Wagner,Magic
569,1630688,Ish Wainright,Suns
570,202689,Kemba Walker,Knicks
572,1629022,Lonnie Walker IV,Spurs
573,202322,John Wall,Rockets
577,203933,T.J. Warren,Pacers
578,1629023,P.J. Washington,Hornets
579,1630613,Duane Washington Jr.,Pacers
